VALIDACIONES PRESENCIALES NORMALIZADAS A 24H
Fuente: DOCX/CSV locales procesados por FincaDiag.
Nota: este archivo es canónico para revisión humana; el motor ya normaliza internamente estas horas.

## 2026-04-06 PM
Ventana de ordeño: 13:06 - 14:08
Vacas registradas: 19
Vaca 538 | entrada 13:35 | tag 13:35 | salida 13:46 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 748 | entrada 13:35 | tag 13:35 | salida 13:46 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 756 | entrada 13:35 | tag 13:35 | salida 13:46 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 460 | entrada 13:43 | tag 13:43 | salida 13:54 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 514 | entrada 13:43 | tag 13:43 | salida 13:55 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 634 | entrada 13:43 | tag 13:43 | salida 13:56 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 754 | entrada 13:51 | tag 13:51 | salida 14:06 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 762 | entrada 13:51 | tag 13:51 | salida 14:06 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 531 | entrada 13:52 | tag 13:52 | salida 14:06 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx
Vaca 688 | entrada 13:59 | tag 13:59 | salida 14:06 | rfid si | flujo si | doc validacion_visita_13_05_2026.docx

## 2026-05-14 PM
Ventana de ordeño: 12:50 - 14:12
Vacas registradas: 7
Vaca 664 | entrada  | tag  | salida 13:17 | rfid si | flujo  | doc validacion_visita_14_05_2026.docx
Vaca 752 | entrada  | tag  | salida 13:18 | rfid si | flujo si | doc validacion_visita_14_05_2026.docx
Vaca 424 | entrada 13:09 | tag 13:09 | salida 13:22 | rfid si | flujo si | doc validacion_visita_14_05_2026.docx
Vaca 474 | entrada 13:09 | tag 13:09 | salida 13:22 | rfid si | flujo si | doc validacion_visita_14_05_2026.docx
Vaca 573 | entrada 13:19 | tag 13:19 | salida 13:28 | rfid si | flujo si | doc validacion_visita_14_05_2026.docx
Vaca 696 | entrada 13:19 | tag 13:19 | salida 13:28 | rfid si | flujo si | doc validacion_visita_14_05_2026.docx
Vaca 741 | entrada 13:19 | tag 13:19 | salida 13:28 | rfid si | flujo si | doc validacion_visita_14_05_2026.docx

## 2026-05-16 PM
Ventana de ordeño: 12:51 - 13:48
Vacas registradas: 19
Vaca 559 | entrada 12:51 | tag 12:51:58 | salida 12:59 | rfid si | flujo si | doc validacion_visita_16_05_2026.docx
